name,label,A,C,D,E,F,G,H,I,K,L,M,N,P,Q,R,S,T,V,W,Y,m,q
tissue,H,3.95,1.67,2.5,4.18,0.47,1.84,2.15,0.8,0.3,0.7,1.02,1.15,1.57,3.62,3.4,1.96,0.21,0.79,0.06,0.5,1.02,3.95
culture,H,4,0,1.77,2.42,0.29,1.04,1.44,1.18,0.1,1.13,1.14,1.77,0.84,2.41,1.72,1.31,0.2,0.26,0.2,0.19,1.14,2.42
